ESC_REDE_distance	ESC_REDE_randcontrl_distance	ESC_noclass_distance	ESC_noclass_randcontrl_distance	TSC_REDE_distance	TSC_REDE_randcontrl_distance	TSC_noclass_distance	TSC_noclass_randcontrl_distance	ESC_NEDE_distance	ESC_NEDE_randcontrl_distance	TSC_NEDE_distance	TSC_NEDE_randcontrl_distance	ESC_NonEnh_distance	ESC_NonEnh_randcontrl_distance	TSC_NonEnh_distance	TSC_NonEnh_randcontrl_distance
37308	150666	9168	259357			105978.5	106557.5	84895	58313			44249	784833	167644.5	24331.5
89278	20425	60802	5397			17694.5	285430.5	87673.5	14851.5			108224	21785	150211	583
430938	214665	13038.5	10364.5			14925.5	46392.5	192573.5	277622.5			104027	19954	53105	238144
194124	72203	310615.5	18722.5			49245	53645	12424.5	224788.5			276613	138458	271806.5	41436.5
176040.5	574.5	54794.5	1190927.5			83115.5	24503.5	95890.5	16283.5			104172.5	41481.5	16544	972
113966	222070	61516.5	115630.5			73076.5	7729.5	47368.5	43415.5			156061	82178	21960.5	343620.5
465667.5	89815.5	237140.5	20319.5			53269.5	19694.5	1681	447147			164571.5	47324.5	24875	49131
285265	92236	257201.5	7247.5			6166	9078	12258.5	76418.5			536469.5	17710.5	33709.5	159390.5
358622.5	64095.5	257570	198554			22036.5	278305.5	1678	231845			88117.5	374603.5	9026	765475
305208.5	92403.5	203601	154938			5326	3145	48666.5	203311.5			2438	159112	53149	230846
631606	35408	8816	49863			4824.5	1712277.5	3504	151798			7198.5	7746.5	300314	63513
5833	181169	859233	8625			23750	8431	1904.5	45203.5			54109.5	34105.5	128380	296020
27839	56186	39572	157868			61549.5	233814.5	37827.5	69685.5			17501	49889	36032	65440
		209111	5478			127166	7801	13388.5	27915.5			9148	120406	299527.5	774474.5
		213108.5	772657.5			97147	2081	32208.5	579953.5			72144	374341	54295	42999
		201136.5	9176.5			27882.5	626356.5	93370.5	167721.5			264772.5	398517.5	967749.5	131306.5
		46714.5	10328.5			12095	126356	94275	317221			112086.5	25856.5	10620	537241
		92898	9764			10772	11564	7289	10177			18677.5	12293.5	255467	6071
		11975.5	707003.5			2542.5	25097.5	12319	557183			14593	7664	48648.5	27180.5
		28869.5	28183.5			22475.5	10189.5	34612	10179			9223	6062	9612.5	38282.5
		37019.5	22339.5			40491	4137	20455.5	38813.5			3601.5	1740.5	1552941.5	109601.5
		38301	23783			33880.5	460907.5	12214	823474			52865.5	45308.5	431097.5	102100.5
		8095	3736			8683	42091	86507.5	14297.5			52542.5	61296.5	167948.5	80530.5
		26551.5	7784.5			32129.5	397920.5	433693.5	2926238.5			67938	44386	99697	120
		2174	2892			28765	6170	53027.5	48913.5			27670	105766	27716.5	44719.5
		12006	79598			30303.5	625.5	51206.5	55851.5			55138	3380	201393.5	6015.5
		11019.5	1018878.5			37915	4667	8891.5	165329.5			74908	627901	23714.5	1290.5
		20176.5	10618.5			26990.5	2801.5	9831	62164			137980	517445	113297.5	121157.5
		4505.5	807741.5			24875	15114	14704.5	148889.5			57216.5	43750.5	10891.5	958.5
		5594.5	23214.5			13792	3106260	4144.5	437082.5			265326	169781	4391	45117
		306284.5	89295.5			29514.5	70183.5	38074	201845			434944.5	112041.5	552774	5818
		401513	20461			7265.5	1544.5	94181.5	356833.5			61048	149529	298860.5	1925837.5
		33620.5	124627.5			26183.5	50432.5	8897.5	10696.5			60910.5	96943.5	543963	183722
		127786	261287			6409.5	2540.5	6240.5	213035.5			26479.5	222987.5	394622	21659
		102.5	14648.5			2815.5	30646.5	324781.5	39570.5			1645.5	458202.5	40969.5	643044.5
		17626.5	3045479.5			26190.5	319481.5	33912.5	20786.5			110848	90869	1742699.5	269494.5
		9419.5	1359.5			21759.5	83954.5	100235	12394			626666.5	492007.5	154301	30936
		41880.5	28678.5			19525	22892	10042.5	54283.5			26485.5	124633.5	22428.5	46737.5
		41506.5	1717.5			20933.5	12567.5	9643.5	20391.5			43173.5	5792.5	94449	436088
		389069.5	485133.5			56050.5	31328.5	46404.5	21464.5			18827.5	2742.5	111496.5	35405.5
		542196	129261			12235	77365	33380.5	33530.5			12741.5	36808.5	217144.5	167756.5
		14191	66397			20934.5	10928.5	3839.5	7163.5			2349	10933	235692	52293
		32102	32398			26185.5	294127.5	18964.5	18398.5			94065	53608	23786.5	597211.5
		1016	79074			6408.5	45737.5	70673	547519			56769	77427	25413	25764
		168432	3110			6472.5	3188.5	144279	23412			19716.5	70951.5	112762.5	14490.5
		27668.5	133532.5			7782.5	160775.5	34703.5	35219.5			22420	4966	2484	25762
		8977	14241			12235	1139	89856.5	5781.5			10898	16264	302535.5	182001.5
		143915.5	31667.5			2815.5	53328.5	240600.5	5473.5			702603	24876	26990.5	181946.5
		165055	766869			66000.5	42529.5	240349	472234			693673.5	225685.5	106977.5	11489.5
		168197.5	50741.5			15247.5	23636.5	18082	67039			92842	25532	28976	23193
		385987.5	372264.5			1215	5864	45866	965214			253075	2417703	43286.5	9226.5
		453292	39373			13633.5	27375.5	23476.5	521284.5			148369.5	340892.5	20319.5	86172.5
		458399.5	152548.5			5209	49713	23192.5	7148.5			84920	37429	7816	60321
		629338	10922			35409.5	15829.5	368503	11275			72054	124293	24187	23642
		630212	105439			40405.5	87609.5	71548	36892			326876.5	49142.5	1536331	442984
		587921.5	165435.5			2614	6708	46087	15877			237016.5	301673.5	22929	40940
		118328.5	21552.5			133995.5	200312.5	7658.5	191485.5			58505	39644	499107	46332
		116933	587533			12920.5	9810.5	60277	40001			210175.5	18978.5	58357	380814
		59801	1720			12922.5	648500.5	16391.5	21934.5			69292.5	146020.5	91324.5	22059.5
		53807	13124			330437	13870	163946.5	121166.5			149821	132259	88766.5	44483.5
		93369.5	223616.5			472633.5	9186.5	798	3429			174044.5	785653.5	57588.5	112127.5
		169618.5	17566.5			20091.5	133787.5	19643	151840			335877	7246	17823	677340
		222308	69134			12876	26146	9307	23697			474193	8754	25634	72535
		253794	174156			7116.5	13408.5	31229.5	4551.5			31704.5	72630.5	58050	107680
		475742	74404			689011.5	3411.5	79538	63241			83091.5	625213.5	168572.5	42244.5
		446404	55045			59843	8711	4419	2264			282180	67075	236049	34734
		66442.5	242609.5			436813	30440	14547	211219			80669.5	180011.5	35036.5	88794.5
		346019.5	39166.5			220188.5	884594.5	18315	32140			124365	804176	30034	1487
		242279	612598			215789.5	4125.5	50486.5	21999.5			129825.5	108251.5	60031.5	36680.5
		33381.5	20227.5			273317.5	815.5	81335.5	197437.5			130019	304542	155749	473035
		38089	25396			2236.5	29566.5	15890.5	1811.5			219087.5	146860.5	115009	33105
		50698.5	226301.5			17050.5	5106.5	12162.5	531.5			334187	446536	391710.5	30584.5
		69491.5	103346.5			16244.5	439197.5	11712	861743			108212.5	676126.5	471229.5	49331.5
		156543	5204			396853.5	3637.5	37102.5	190131.5			58231	144897	39662	72979
		169036	2180929			21968	13892	47565	1131568			117263	7653	12338.5	99263.5
		21199.5	871186.5			46829.5	4447.5	941	29956			269507.5	183350.5	212287	248726
		24685	67672			143577	11430	3365.5	36760.5			45871.5	176324.5	396853.5	57522.5
		3987.5	78781.5			27716.5	12316.5	23743.5	432428.5			50320	361815	8683	4158
		25477.5	45079.5			18213	50445	9622	1526661			70908	491495	56872.5	6272.5
		41956.5	415122.5			165657	14989	44782	18966			27254	304015	4983	2198
		48354.5	25214.5			98213.5	9283.5	13484.5	7964.5			274420.5	9917.5	303760.5	766.5
		564717	14031			273222.5	601.5	263391	34556			78257	68558	62085.5	51084.5
		630247	312286			60767	8910	2098.5	16925.5			508520	80700	71166	446150
		554583	198749			39069	16044	6444.5	39341.5			172092	32055	185513.5	309808.5
		521516	90612			20331	10783	30297.5	193801.5			714394.5	143491.5	8915.5	120433.5
		469921	1601290			50505.5	18556.5	4979	8720			666202.5	1329214.5	242891	131474
		31771	2894065			55670	44190	19396.5	8164.5			369985	73260	891579	1053901
		371926.5	56991.5			56835	215676	3026	78984			28037	297701	5209	26763
		394561.5	2297.5			70179	40184	3341	1856			171644.5	393608.5	5902	1022
		464134	9296			362393	54654	3054	57344			22327.5	4891.5	5454	137876
		464229.5	7519.5			10271	344224	37131	30742			22423	9435	145761.5	85887.5
		479619.5	1212916.5			23438	319408	4975.5	16640.5			22173.5	17807.5	373489	22455
		479947.5	3597.5			2437	282748	18395	5346			158296	4948	716863.5	136327.5
		615722	18258			34978.5	7001.5	42339.5	36544.5			158421	125505	33004.5	41126.5
		616018	30913			25328.5	50121.5	26185.5	19852.5			35626	10238	8101	2630065
		644568	755095			4812	27567	3319	444906			68378.5	188924.5		
		648110.5	18913.5			4781.5	352445.5	13757	1094925			20037.5	10763.5		
		220823.5	542984.5			2307.5	11988.5	48156.5	10561.5			8093.5	846177.5		
		192798	8916			131515.5	185565.5	50324.5	140820.5			510754.5	14319.5		
		141103.5	403024.5			26877.5	21940.5	117543.5	213451.5			508794.5	14180.5		
		113323.5	39259.5			12730.5	15164.5	1809.5	96697.5			123547	76962		
		108141.5	446153.5			7299.5	160604.5	10259	13531			93218	124408		
		10169	161339			100172.5	31814.5	8124.5	79483.5			103705.5	51006.5		
		34545.5	30034.5			97564	203505	823128.5	1014.5			520195.5	42906.5		
		47943	93994			10144.5	65841.5	136357.5	31146.5			1023572	1285		
		8632	462066			54007.5	3647.5	32671	12859			163093.5	291182.5		
		9004	133268			32332.5	101146.5	2633.5	28936.5			148349	107692		
		21271.5	89835.5			69278	38015	37617	8595			148010.5	20254.5		
		84403	61178			30957	9307	60086	259978			1815902.5	1169717.5		
		89388	123656			37978.5	3845.5	28494.5	120815.5			22886.5	53164.5		
		160459.5	5467.5			38510	27755	1188	49329			116081.5	3257.5		
		86930.5	5640.5			12775	5620	20911	6296			62152	181922		
		76821.5	1622184.5			12739.5	87838.5	10951	364738			113775.5	10925.5		
		76462	1803745			252205	756067	5262	104720			13016.5	29920.5		
		76181	306453			9264.5	50543.5	31242	28689			2409	442384		
		33638.5	82774.5			39187.5	398585.5	19949.5	48931.5			3050.5	388722.5		
		59043	25631			39662	56364	81411	224559			1301996.5	178924.5		
		57593.5	307479.5			58357	249399	48687.5	44690.5			1010927	558630		
		69516.5	288261.5			370885	51028	36740	8769			808439	287659		
		75841.5	336251.5			1295308	1510455	42321.5	27122.5			14948.5	62154.5		
		76081.5	31896.5			1064872.5	104462.5	27835.5	8624.5			5671.5	142573.5		
		77285	26905			75034	1238008	102463.5	4435.5			509322.5	940993.5		
		82701	24789			34539.5	7904.5	7816.5	6726.5			27332	31899		
		132273	11309			201021.5	4251.5	77383	975511			27007.5	178386.5		
		143490.5	50601.5			118896	104682	64198.5	222411.5			1194233	382411		
		299778	605090			143045.5	2239.5	114793.5	1258954.5			25349	3400		
		170819.5	186020.5			20674.5	8195.5	35967.5	2391703.5			25488	243532		
		92113.5	24662.5			69067.5	593721.5	31830	5465			61516.5	403243.5		
		15515.5	6478.5			18298.5	31269.5	65239	591133			554583	104134		
		229355	57166			2674	126937	26285.5	5523.5			464229.5	42698.5		
		421585.5	24221.5			9211.5	11098.5	8732.5	6238.5			89388	74539		
		129786.5	77165.5			2675	29060	18002	42744			59043	13531		
		129135	224863			5982.5	270437.5	654445	35665			407630	49379		
		34386	10986			2670	676618	80864.5	19771.5			11449	462728		
		29174.5	20262.5			18390	2774	12337.5	87508.5			8540	39277		
		53266	1002			7309	10889	45312	62275			1704045.5	64920.5		
		47556	25666			18140.5	10768.5	47947.5	2239.5			404371	1037		
		48204.5	17531.5			7300	704516	233707.5	81667.5			76512.5	183296.5		
		88515.5	309718.5			5997.5	110734.5	230379.5	285272.5			470069.5	39800.5		
		15738	34878			2671	14566	6292.5	67401.5			140839.5	570871.5		
		87915	161949			2922	289877	194330	575172			6521	367544		
		176947.5	8675.5			12903	42148	138978	99912			204971.5	185929.5		
		407630	130044			13913	9592	65451.5	4241.5			113142	607649		
		795974.5	19405.5			454675.5	695249.5	161689.5	12192.5			47329.5	160150.5		
		801621	950250			498715.5	2668.5	407634.5	110815.5			107241.5	310247.5		
		466253	161108			111453	68466	151042	446683			4475.5	20374.5		
		449474	777			66183	353972	86445.5	45405.5			6535	73159		
		371225.5	173059.5			94291.5	212537.5	417310	285228			5482.5	2531.5		
		354692	79334			195536.5	523387.5	33907.5	273311.5			1577802	661713		
		45240.5	280376.5			255205	3554	25162	8351			28388	6552		
		79865	85352			187808	427721	88253	780064			961311	3005		
		11449	183386			41053	35313	30305.5	70423.5			5097	9073		
		42218.5	280109.5			111345.5	3219.5	81525.5	34255.5			70633.5	1383.5		
		127316.5	88054.5			170763.5	222125.5	13810	176781			296118.5	114114.5		
		309694.5	224137.5			171555	314303	21659	19048			21866	1078905		
		313427	275796			15685	16800	5633.5	324291.5			16330	286638		
		556120.5	329551.5			25634	144825	25739.5	135263.5			38664.5	45488.5		
		896673.5	22676.5			579757	422395	82932.5	12014.5			22504	113008		
		1175872	58921			505270	16830	61576.5	1667.5			36149.5	113407.5		
		1070909	91206			38699.5	220288.5	30746.5	10269.5			874893	3203		
		632931	33386			3637	510610	19401	75329			371225.5	11764.5		
		632755.5	21444.5			65370	100699	88185.5	122663.5			117953.5	2828.5		
		379964	101930			481464.5	80098.5	68613	258949			16885.5	175687.5		
		383338.5	30038.5			124804.5	204159.5	14524	65438			227597.5	196289.5		
		385788.5	65803.5			468859	108437	4755.5	119266.5			49538	42672		
		666782.5	30926.5			335378.5	481339.5	10314	39401			51611	16043		
		22012.5	253499.5			90095.5	267171.5	22867.5	9806.5			694663.5	158464.5		
		33260	99926			230598.5	314431.5	40252.5	3072.5			713831	3565		
		32881.5	42385.5			382325.5	38510.5	32073.5	31922.5			141946	250680		
		177469	14650			45519.5	16882.5	110103.5	249767.5			8148.5	51438.5		
		147095	4039			40711.5	90704.5	15627	87909			54898.5	27488.5		
		8540	346955			235961	58085	244512.5	692573.5			58173.5	1909376.5		
		2694.5	78168.5			185226	55542	45982.5	261765.5			18965.5	385002.5		
		34287	239134			41247	335868	3432	66912			5923.5	436642.5		
		219324.5	37154.5			34897	20022	65277	438164			118667.5	13652.5		
		29346.5	274683.5			58038.5	83449.5	32368.5	43326.5			7844.5	16289.5		
		36176.5	152555.5			21502	17505	7341	14867			9705.5	886.5		
		28944	65960			101058.5	405799.5	33161.5	108081.5			57366.5	22684.5		
		30366.5	3113713.5			110312.5	326407.5	8309.5	247708.5			505686	265625		
		13815.5	5365.5			465425	111837	8437.5	8996.5			507838.5	1787895.5		
		22566	60025			73328	19973	6038.5	19393.5			22896	25721		
		26812.5	77987.5			83112	1089599	264532	62748			579253.5	54104.5		
		14966.5	30622.5			128790.5	219917.5	143276	68194			13761	133619		
		16628.5	441757.5			40969.5	661277.5	364865	48321			17405	1110		
		35895	44230			121096.5	32058.5	20645.5	112649.5			7163.5	34957.5		
		682416.5	30553.5			150353.5	61194.5	65079	27308			410476.5	938.5		
		611780	1085			18115.5	77865.5	3991.5	121061.5			20693.5	15394.5		
		586658.5	79928.5			16403.5	284201.5	22923	98747			190801.5	139360.5		
		60602.5	109144.5			12964	153381	12950	600692			364230.5	37197.5		
		1438768	29798			1408088.5	10196.5	72543.5	283777.5			147.5	253.5		
		1704045.5	63379.5			1407199	233943	57792.5	396778.5			597123	283889		
		1265072	295243			799742.5	6018.5	64996.5	129759.5			247981	9347		
		948017	31999			369814	178168	70479	5247			140626	135745		
		499996	695186			1524347	58481	26568	31180			9852	89219		
		300025.5	41356.5			1536331	20706	81592.5	75892.5			59292	92803		
		273513.5	208873.5			4673	1336485	293857.5	138600.5			565483.5	280387.5		
		260104.5	2262671.5			37825.5	174064.5	4387	19958			4779	36121		
		38449.5	50991.5			296563.5	5721.5	136216.5	29214.5			11435.5	30913.5		
		65250.5	20682.5			116538.5	77654.5	125192	249868			36759	33005		
		217765	219981			147800.5	26136.5	11159.5	9918.5			23158	83930		
		31081.5	52918.5			18773.5	29985.5	30349	297867			296493	666932		
		16612	13346			13817	122815	14940	20426			11699.5	7055.5		
		549479	2292			342449	780	265501	17312			53948.5	251906.5		
		483482	61345			348331	68018	4784	13689			12666.5	33333.5		
		404371	166044			268924	127652	11311.5	23973.5			202224.5	36265.5		
		400246	227719			6510.5	225983.5	8516.5	36684.5			87478	38397		
		350293	1912			164956.5	35885.5	8139.5	21568.5			1339530	305630		
		189686.5	130667.5			26403.5	84115.5	7175	9874			1037714.5	28196.5		
		97656	42875			160807.5	252315.5	132732	142750			756976	12048		
		68628.5	52261.5			400885	37466	8597.5	2505409.5			21992.5	311425.5		
		499188	77492			497410.5	56617.5	9332.5	333754.5			3306	308137		
		502380.5	83.5			834368	88765	5955	40392			1230	3278		
		396252.5	515661.5			1060891.5	111574.5	1332.5	15401.5			9324	1042754		
		268573	26826			780211	4232	14806.5	660794.5			329183	378372		
		268839	46127			236049	33841	12042.5	2252.5			67493.5	34319.5		
		13591.5	41227.5			201921	155523	66430	37394			63957	72337		
		76512.5	807874.5			57588.5	4970.5	65481	2811			2374	3859		
		138912.5	29389.5			58050	62474	187629.5	1627368.5			42643	48644		
		83492.5	34016.5			20960	924297	428805.5	11931.5			96889	32310		
		11435.5	26051.5			17841	108005	2146	850381			438847.5	1268.5		
		4958	143634			712089	123824	56094	4644			13852	77127		
		188961.5	1480.5			641923	5642	182250.5	35090.5			67863.5	139745.5		
		166134.5	32693.5			8756.5	53.5	23647.5	9776.5			54377.5	4494.5		
		113078.5	156902.5			6610	78177	22663.5	19151.5			107139	6257		
		19225.5	577327.5			7626	2166	135934	440004			585744.5	73472.5		
		177804.5	634265.5			365817.5	187968.5	110086.5	20204.5			387502.5	221204.5		
		470069.5	489129.5			340640.5	77257.5	29338	114108			27576.5	23470.5		
		28166.5	142377.5			52688	215483	90710.5	220.5			205121.5	39253.5		
		33489	699022			1645.5	2448.5	75288	223674			35462	17261		
		44383	64323			917.5	8505.5	20162.5	557322.5			4062	28304		
		49897	28008			21093.5	250189.5	19669	119902			2664.5	26818.5		
		143594.5	28037.5			88766.5	36918.5	26642.5	14420.5			692025.5	204258.5		
		690280	27502			744177.5	26688.5	11395	5191			2922	209434		
		708178.5	850851.5			543963	9495	464278.5	115925.5			597640	194246		
		868217.5	103793.5			23330.5	28970.5	8722	24471			43382.5	12506.5		
		736157	32818			72937.5	284687.5	105114.5	174645.5			174952	145401		
		287486.5	9787.5			32155.5	598380.5	119954	247475			1679.5	120264.5		
		366502.5	35932.5			24509.5	31123.5	171636.5	734502.5			111920.5	79826.5		
		476515.5	2746928.5			26989	746007	117340.5	26979.5			15487	66615		
		35	1251			26436	342083	111487	210478			167301	99971		
		88986	62094			2031.5	58446.5	10772.5	42481.5			3153	5760		
		287118.5	44362.5			6037	915578	18132	131429			464134	16879		
		370270.5	792070.5			57378	219185	37111.5	1053.5			121207	19598		
		932061	182933			22318	16410	44375	22320			310615.5	5388.5		
		1188889.5	46188.5			172496.5	158310.5	60518	22969			40998	1138677		
		947953.5	68178.5			25767	867	198832.5	366155.5			128667	8833		
		837256	112009			6475.5	53427.5	87532	17612			175070.5	478706.5		
		506469	18443			70336.5	4977.5	23832	56338			71202	8433		
		435233.5	164577.5			69716	29702	165752	554545			600874	9294		
		321875.5	163088.5			4124	93440	56012.5	32460.5			576194.5	153572.5		
		50547.5	84087.5			176385	15674	47529.5	439190.5			4823	69118		
		44335	73423			176491.5	811.5	16263.5	31842.5			21855.5	17325.5		
		186700.5	814037.5			69062.5	15701.5	2917.5	29845.5			18694	15428		
		186511.5	9810.5			26399	69868	2086	3484			8154.5	56841.5		
		82883.5	246216.5			52181	59391	13824	7376			25796.5	157200.5		
		140839.5	37105.5			204832	6889	27060.5	46562.5			14225	9459		
		181248.5	13505.5			30034	6636	21746	311195			102011	1259245		
		16649.5	249720.5			35270.5	4703.5	20218	950877			24626	1351360		
		69487.5	147403.5			34551	87381	18025	20286			21584.5	140180.5		
		16713.5	27834.5			19950.5	179233.5	3149	7409			328221.5	187.5		
		31651.5	278236.5			140749.5	490343.5	59812	1608			230608	6691		
		43042	51535			245660.5	2891.5	47666	34322			8068.5	200268.5		
		15128	134800			228958.5	50937.5	37851.5	71895.5			138494.5	19136.5		
		1457.5	22389.5			294706	10661	66301.5	112867.5			38718	17800		
		11278	190469			2671.5	135987.5	59792	96614			171496	17060		
		94268	220542			4417.5	82148.5	10884	78450			17967.5	253738.5		
		113422.5	1068157.5			71836.5	146662.5	28442	393567			24090	131918		
		117953.5	173152.5			45358	262584	21910	6862			8768	22235		
		244172.5	2225.5			4333	144986	444104	15743			59099	116361		
		362537.5	307702.5			4577	18033	1002511	16166			20511.5	19413.5		
		455918.5	293205.5			12869.5	8963.5	238041.5	314679.5			142731.5	20095.5		
		456872.5	62735.5			31421	140371	70706.5	4714.5			514932.5	99159.5		
		55720	102727			99697	733162	64976.5	2015.5			59218.5	164722.5		
		4115	82446			24705	22258	175935	412564			67055	436698		
		3396.5	209012.5			24257.5	2182.5	33977.5	21612.5			580567	62330		
		3701	382132			35036.5	12040.5	93004	4832			144234	7867		
		4175.5	139171.5			69145.5	61372.5	89492	22002			12236.5	111245.5		
		13129	27449			37259.5	824304.5	47835.5	15107.5			306483	151		
		14684.5	285020.5			21630	349670	149097.5	731558.5			655969.5	30023.5		
		8836	8379			27578.5	369788.5	38500.5	324357.5			102.5	5467.5		
		8276.5	168352.5			68433	43614	224715.5	27426.5			16540	142582		
		10641	77405			91529.5	20730.5	9026	140949			23193	95794		
		4916	278182			347712.5	7035.5	112274.5	32480.5			39631.5	13345.5		
		12954.5	481057.5			23714.5	47937.5	334352	199788			8108	39657		
		1019	867034			20948	140997	35664	2175			37825	325080		
		672	3469			12338.5	206211.5	44852.5	7034.5			56257	3666		
		10910	8245			131170.5	524.5	95952.5	3577.5			122785.5	21396.5		
		11543	33844			127076	58985	214146	578513			47353.5	337795.5		
		20073	21762			135173	808281	8750.5	236339.5			7488	1976		
		4473	68172			25386	17053	4882	1836			15669.5	284251.5		
		89598	18922			24863.5	136191.5	7156.5	295360.5			934397.5	1062460.5		
		5666	332822			162105	699790	20387.5	50469.5			62565.5	11501.5		
		5389.5	35336.5			239577	33651	78289	217329			76909.5	549718.5		
		4837	1392004			312577.5	33740.5	40493	1954			160063	25160		
		9698.5	26683.5			600301.5	156868.5	48288	98244			92570	275012		
		9603.5	71130.5			902251	855534	60638.5	266954.5			1147634	10501		
		9595.5	40638.5			419601.5	458412.5	40573.5	200746.5			49825.5	198394.5		
		29647.5	162869.5			50129	40031	209171.5	45417.5			24194.5	5051.5		
		8102.5	6669.5			5548	2109	4058	456			2498.5	192672.5		
		11723.5	129015.5			5097.5	37925.5	145789.5	111221.5			62653.5	284017.5		
		81656	60558			4598.5	55842.5	157330	115253			121092.5	254718.5		
		52016	129494			18801	186489	25457	33538			6513.5	14089.5		
		52758	6942			38676.5	66016.5	17315.5	81068.5			50134.5	25541.5		
		44101.5	243237.5			370638	7342	119425	39685			784077.5	444984.5		
		15819.5	1380717.5			371306.5	3118.5	17650.5	5109.5			249630	35949		
		15879	697361			238505.5	29438.5	33754.5	12455.5			244786	55621		
		6093	37661			1000996.5	143551.5	162600.5	88727.5			58430.5	243037.5		
		5541	108434			887471	33665	58312.5	33016.5			28512.5	732861.5		
		68650	49160			19891.5	19953.5	104826	45885			1685300.5	400231.5		
		68772.5	104448.5			215855	103041	33604.5	1383081.5			1154713	65834		
		595704.5	24153.5			128180.5	65181.5	69681.5	80221.5			57750	22058		
		596405	535972			27024.5	51731.5	45612.5	13288.5			38453.5	44752.5		
		788794.5	11645.5			34756.5	105294.5	22107	18475			11012.5	129890.5		
		740549	12938			35105.5	260173.5	19852.5	277697.5			416526	91699		
		723284	653891			45943	61090	11826.5	8143.5			1974	300906		
		475327.5	2151.5			25602	18804	71665	28287			4881	1058809		
		403106.5	323231.5			26333	31006	15857.5	552585.5			300025.5	285435.5		
		379432	66858			32335	158781	803356.5	289105.5			50702	41987		
		266948.5	243715.5			97565.5	11238.5	67231	45670			67169	55745		
		251726	1454			98345.5	240477.5	42583.5	26023.5			205654	20354		
		267744.5	22387.5			43870.5	825659.5	45630	3005			2463	211063		
		267883.5	48101.5			44145.5	17350.5	28128.5	6649.5			29716	291514		
		282888.5	9147.5			40311.5	10048.5	20539	133711			17421	476172		
		539677	12505			150906	87197	19446.5	28453.5			649933	159568		
		548538	5204			14038.5	558046.5	116119	367496			483482	32967		
		545921	207994			105298	230914	342197.5	10287.5			12795.5	43515.5		
		358774.5	112015.5			96139	12282	460066	212968			109143.5	68714.5		
		33500	63836			96870	19199	42716	55584			44827.5	22683.5		
		9199	104931			3547.5	85064.5	39916.5	870124.5			56658	10989		
		393551	123036			303760.5	566483.5	34684.5	820367.5			513197	27719		
		86362	12602			503875	86335	22817.5	30235.5			2357.5	64004.5		
		102267.5	126471.5			579880.5	87756.5	2711	114756			117444.5	52355.5		
		35836.5	22207.5			192730	382900	14174	8958			6901	10164		
		20076	60932			15028.5	102987.5	24743	26134			61746.5	26906.5		
		15390.5	1601.5			37432.5	301757.5	58762.5	7748.5			19854.5	36406.5		
		16261	334015			17220	620	58358.5	592064.5			4603	49763		
		238856.5	256857.5			16293	29	55182.5	38905.5			23880	32481		
		596580.5	4529.5			14853.5	1388245.5	35729.5	441454.5			25477.5	28845.5		
		134523.5	79086.5			335633.5	114383.5	42484.5	92.5			27633	23264		
		29130.5	127544.5			6330	205979	44793	150915			39191.5	1298415.5		
		55487	137052			2824	12287	10639.5	29120.5			800590.5	592101.5		
		3993.5	390104.5			6033.5	78923.5	34375.5	7185.5			48297	58604		
		12541	14847			7979.5	19851.5	28530	324888			44478	213004		
		15572.5	61350.5			525094	32383	16884	862196			34076	125533		
		111356.5	40062.5			145761.5	24095.5	16786	89340			37418	583431		
		186635.5	37537.5			57323	713857	43279.5	184146.5			25686	49628		
		19368	43771			76938.5	719244.5	61664	249703			657818.5	21714.5		
		9041	42119			415080	2451	8535.5	55501.5			580420	387830		
		121207	69016			173762.5	5530.5	10901	114554			114552	1100610		
		121805.5	75283.5			23507.5	145455.5	60213.5	43212.5			77204	55379		
		13508	35902			213243	63449	52588	112090			3400	13216		
		37982.5	216065.5			110494.5	71924.5	83843	148771			395878	213855		
		46361.5	99065.5			19323.5	1587.5	9219.5	1686913.5			42490.5	260547.5		
		17471.5	106144.5			128692	343339	66362.5	24077.5			64424.5	1240763.5		
		1941	38946			280233	22492	277410.5	54372.5			21295	10421		
		25260	209040			394622	43450	27999.5	9885.5			309766.5	430043.5		
		5483.5	40920.5			467194.5	1381605.5	411618.5	316256.5			109533.5	22110.5		
		234141	167533			467892	12366	18966.5	447894.5			76933	28656		
		248095	17682			85404.5	6511.5	22290	682064			45136	12828		
		265573.5	85089.5			76229.5	19378.5	1561	3818			10381	108516		
		37788.5	31468.5			514622	295223	19292.5	58695.5			63233	75737		
		290658	129368			414518.5	98890.5	10122.5	26083.5			822855	160977		
		289395.5	298897.5			155637	542652	25603.5	449519.5			331047	70609		
		2793.5	28945.5			70733	23094	29506.5	5643.5			103477.5	468172.5		
		8455	107965			49171	44789	4220	62171			68249	3395		
		1477	29873			62383.5	6029.5	4627.5	30585.5			85330	73121		
		1680	262947			14351	32353	30902.5	104341.5			186645.5	73898.5		
		87005.5	45708.5			6035	148417	40025	39569			616936.5	134466.5		
		110155.5	89736.5			5377	160307	2835	154019			16649.5	497540.5		
		4814.5	77298.5			56872.5	258167.5	11616.5	351894.5			43180	19261		
		9083	791050			57339	24230	213858.5	18096.5			357381	12597		
		123650	7602			57774.5	16343.5	183271	3739			11673.5	13181.5		
		132.5	2289.5			1273.5	100069.5	188785.5	63207.5			332005.5	1073965.5		
		17860.5	25431.5			347953.5	42217.5	15632.5	9365.5			138329.5	60950.5		
		27467	138378			16169.5	147985.5	40727	205733			483501.5	81807.5		
		27712	3222			17170	449182	125617	284924			182295	1349		
