ES_mean_A_No_ES_Enh_only	Rel_exp_A_No_ES_Enh_only	ES_mean_N_No_ES_Enh_only	Rel_exp_N_No_ES_Enh_only	ES_mean_B_No_ES_Enh_only	Rel_exp_B_No_ES_Enh_only	ES_mean_A_ES_NEDE_only	Rel_exp_A_ES_NEDE_only	ES_mean_N_ES_REDE_only	Rel_exp_N_ES_REDE_only	ES_mean_N_ES_NEDE_only	Rel_exp_N_ES_NEDE_only	ES_mean_A_ES_nonEnhTE_only	Rel_exp_A_ES_nonEnhTE_only	ES_mean_A_ES_REDE_only	Rel_exp_A_ES_REDE_only	ES_mean_B_ES_NEDE_only	Rel_exp_B_ES_NEDE_only	ES_mean_N_ES_nonEnhTE_only	Rel_exp_N_ES_nonEnhTE_only	ES_mean_B_ES_nonEnhTE_only	Rel_exp_B_ES_nonEnhTE_only	ES_mean_A_Mixed	Rel_exp_A_Mixed	ES_mean_N_Mixed	Rel_exp_N_Mixed	ES_mean_B_ES_REDE_only	Rel_exp_B_ES_REDE_only	ES_mean_B_Mixed	Rel_exp_B_Mixed	ES_mean_All_A	Rel_exp_All_A	ES_mean_All_B	Rel_exp_All_B	ES_mean_All_N	Rel_exp_All_N
-3.30455505		-2.9079477		-5.10432815		1.03830815	-1.04095995																							-6.5022577	-1.25226595	3.41512115	-0.65461555	0.55581547	4.66384187
-2.57586275	-2.48028771	-5.83347425		-4.6014665		2.9625721	-0.26455225																							-0.098678198	-0.371412448	3.41512115	-0.65461555	2.82230025	-0.17647085
3.63930645	-0.1814971	3.2809521	0.2910671	-3.78023205		0.1031882	-0.309372725																							-1.5724138	-0.31122515	1.201002075	-0.298182925	-0.70017158	-2.50803413
1.62830645	-0.77877365	-3.14683145		-6.5360565		-5.38026685																								-1.5724138	-0.31122515	-2.5349356	3.8119508	5.66760535	-0.60770385
0.8721852925	4.0205071925	-0.090525642	-1.215914542	-7.1194124		-2.91820735																								-1.35144975	1.90991125	-1.68433475	2.862143	-2.5006148	0.2680547
2.4361529	-0.8184702	-2.19960735	-1.46915018	-6.0825013		-0.26898833	-2.18373033																							-2.06634935	0.1335994	-2.23922365	-1.58249262	2.99799415	-0.8912841
-6.0498805		-6.14490985		-7.09527365		3.00844975	-0.59099285																							0.9491376	-1.2351944	-6.4187858	-1.04474755	0.129861875	-2.014927675
5.47075715	-0.1431075	5.6698972	0.1707967	-6.78892545		1.0265472	-0.529035																							-1.04401527	2.32728578	-5.072202	-0.17626485	0.94785433	0.53872583
0.925985665	0.1492792	-0.382085355	-1.934354705	-3.51936555		-2.2462496	-3.3570742																							-0.86575195	-4.09992285	-4.93058205	-0.88378355	2.1943733	-0.2965847
-5.29495085		2.953989	0.0891839000000001	-3.43919515		4.2428615	1.8474452																							2.3458954	-0.47760365	-7.41157225	1.26821925	1.41858025	0.1869004
0.5501789	5.74020945	-3.98547745		-4.613693		0.8838591	-3.4326172																							-0.569897055	1.554313395	-3.59267275	-0.3077819	3.3205518	0.0753599
-3.69815515		-1.1082328	-0.42439342	-6.4511676		-4.94127485																								-0.569897055	1.554313395	0.017971965	6.631399615	3.0272095	-0.32146
6.49903625	2.94986035	-1.1082328	-0.42439342	-0.81241255	-0.17626478	-1.0208463	-0.44938805																							1.32608265	-1.85872855	0.43613796	-0.310029755	3.75477835	0.5352347
1.297313	-2.8786513	-2.38412785		-1.046877725	-0.176264775	5.91016865	3.9602154																							2.9489626	-0.68568395	-5.1512145	-0.1762649	2.9301984	-0.3226692
-6.7620395		-6.63879585		-2.76934385		2.11033045	3.19354179																							2.276634	-0.49335905	-5.0647995	-0.1762647	-6.10168925	0.399736750000001
-0.686562725	0.784149475	2.43502385	2.315508065	-4.578779		1.6459332	0.0432316500000001																							3.2196395	-0.740261	-5.1343405	-0.176264700000001	2.7758832	-0.9316781
-8.313149		0.719260885	-0.319946515	-1.5323045		3.9206165	-0.91017305																							-1.12816755	-2.500817175	-5.13009095	-0.17626445	-0.91701215	-0.19307175
5.3168997	0.62545635	1.98770095	-0.1112591	-0.63184037	-0.176264745	0.6117017	-0.5080301																							2.35671335	0.0104274999999996	-3.0753992	5.8403368	2.11030165	-2.61315905
3.80254245	-0.176365150000001	-2.9150723	-4.2342967	-1.76934375		4.25452825	0.42200915																							-0.7946255	-0.321017965	-5.1254608	3.6091317	-0.164773175	-1.070996525
2.2261119	0.22880295	2.54681055	1.08730835	-0.97287713	-0.17626468	0.50193043	0.0269963550000001																							-7.19797865	-0.7522664	-3.5656359	2.51989415	-4.04085385	-0.17626495
-8.0047535		2.0626135	-0.27609395	-0.8948747	-0.176264765	-1.2011175	-0.594085525																							-0.564766225	1.894904775	-6.20473005	-0.17626505	7.1439003	0.2721108
0.172161155	4.262505355	-6.61124445		-1.7249496		-0.147085115	-1.317830715																							-4.61883045	1.26821955	-6.89362165	-0.25226605	1.0218109	-0.0946144999999998
4.69961	1.37131335	2.04623165	8.0632011	-3.8915313		3.8440737	10.38238925																							-6.4770843	-0.100263099999999	-8.2615092	-0.100262699999998	-0.431452485	-0.42517004
-5.4630417		-5.52239215		-5.8542325		0.7858258	1.037782075																							-3.5920869	-0.8239926	-6.9400783	-0.1762651	2.68350445	0.3654958
1.94777855	1.068382785	-4.0722809		-4.69265635		0.10320101	-0.86956409																							0.727077005	7.142525455	-5.78384335	-0.1762648	2.31704855	0.60661505
-6.6487722		7.30253235	0.32482785	-4.28209435		-0.515960695	-1.686439045																							1.9001333	-0.78499155	-6.1616609	-0.176264750000001	-4.39337115	0.13447955
1.49101265	-2.89950195	-1.06580762	-1.27319	-3.40383575		-5.8568826																								-4.36757765	-0.0650684500000001	-1.83578475	3.20709195	-7.27216525	-0.176264450000001
2.10330855	-0.54987115	-2.9610131		-5.0735724		0.181338135	0.382263585																							0.1881301025	-1.8013279975	-9.5081525	-0.176264500000002	5.4118803	-0.181423199999999
1.60397485	-0.3970279	3.99225535	-0.0165738000000006	-2.66142235		0.32469268	4.59482143																							-7.314601	-0.752266199999999	-0.29640492	5.85775908	1.0121648	-0.1146338
-0.55387845	0.317242365	0.15300028	-0.17331211	-4.4909263		6.1864183	-1.5547483																							-7.314601	-0.752266199999999	-5.6428189	-0.1762645	3.54403745	0.1431099
-5.68880915		3.3061776	-0.1917877	-4.03177095		4.24334465	-0.195825699999999																							4.51739	0.560514850000001	2.14466185	-0.2386349	0.73025015	0.3158991
2.0707238	-0.00871390000000005	-5.97761475		0.02902241	2.16277121	2.6700094	-0.563303400000001																							5.18446835	0.157889050000001	2.64377245	2.4750333	3.0374019	0.25963315
0.024100468	-0.361515552	1.90711175	0.0986167999999998	-3.9823373		4.7928687	0.50122645																							1.96222935	-0.80978065	-0.415190125	7.727417875	3.2049433	-0.0117067999999998
1.81397265	-0.99310525	1.9387574	-0.72706485	-6.255681		1.30694475	-0.6560659																							4.513782	-0.53949785	-0.363669985	-1.924856285	3.0169797	-0.0939953499999997
-6.14350515		-6.1623553		-4.68108375		3.19152045	-0.983534749999999																							-2.9094324	-0.9484249	-4.0184098	-5.30808376	3.03760095	0.78071255
-4.17145885		2.34625475	0.0760854499999999	-3.97337655		3.32023525	1.4937708																							3.826722	-0.0108378	-0.52830802	4.54589773	0.53950608	-1.67981382
-5.5766101		3.76277395	-0.5190704	-4.6217866		2.9644399	1.792651515																							0.19485629	-2.39753961	-3.7056605	-1.69846185	-0.678572085	-1.187996855
-4.13152005		-1.7468649		-4.1979787		3.03723205	-0.2265736																							-2.48261485	-0.86311557	-6.8432947	-0.1002635	-6.58263885	-0.100263
3.1968822	0.3766496	4.6032358	-0.5072025	-4.4137828		-6.22259545																								-4.987824	0.3997373	-5.81506235	-0.176265	-6.5844844	-0.17626485
-2.3836704		-4.1056446		-4.6035115		-7.2642713																								-4.63289165	-2.49819275	-3.72333105	-0.3502263	4.36368175	0.69401475
0.98842237	-0.53453748	1.17737215	0.8730826155	-5.47537755		3.3473847	1.9139213																							-3.0532382	-0.74090615	-3.75941175	3.0958959	-3.0200713	0.5940195
-2.8384618		4.6447046	0.20000595	-4.15679565		0.61339522	-1.46962603																							3.06209635	-0.49685255	1.81199545	-3.6464489	-4.36898635	1.39973665
-4.0520533		2.63199195	-0.9711949	-4.2537295		5.9180282	2.3637014																							0.35214763	0.23463676	-3.5137843	3.78309335	0.12419793	-0.71803464
1.124175035	0.215410835	2.92579435	-0.435142399999999	-6.8932037		0.99247525	-1.19529805																							1.058387325	-0.0263112750000001	-5.787987	0.399737250000001	5.567831	0.4349274
-0.66727484	-1.485779105	-4.4858357		-5.2314225		3.26561925	0.0262505000000002																							-2.29308935	-1.63101817	-1.4450069	5.45682495	-3.84389075	-0.17626485
1.3301479	0.92216195	-2.12260595	-5.31526485	-6.6708813		1.72613715	-0.4420206																							0.698392115	-0.648380585	-2.07471775	3.9539993	1.83322225	0.12313465
2.55278015	-0.4960485	-6.51774		-1.77654795		-5.70413685																								-1.78894055	-0.78201688	-6.4213377	-0.176264700000001	-6.23999215	-0.176264500000001
-6.36398885		-5.5953671		-4.3023785		2.7098502	-0.537714																							2.3799092	2.016135975	-6.73291115	-0.17626465	-5.7828512	0.531254300000001
-0.717881965	-1.161808235	1.6116975	1.11604655	-4.4551365		3.56860035	4.804218165																							-4.1902463	-5.100474465	-7.09670075	0.47573825	-1.6143173	-0.56670601
2.4038875	-0.37038335	4.64565815	1.97555535	-6.03480505		-4.2349623																								-0.90020961	1.27499139	-0.2764245965	2.3566941535	5.2481415	-0.0125188500000002
2.031189	0.68348095	-1.25757827	-0.5220319	-4.3879149		0.15355307	0.26096985																							-3.89968995	-2.5407109	-3.81999355	0.2975018	-2.21684215	-1.123396325
2.031189	0.68348095	-4.94734215		-6.1336335		-5.09418365																								-2.8838199	2.11621675	-6.2080598	0.975738199999999	-1.4198147	-2.0696868
1.5465476	-1.35841895	-6.03480505		-6.0408543		-5.09418365																								-2.8838199	2.11621675	-7.59634165	-0.100263450000001	2.5552641	0.4347941
0.02726442	0.296439505	2.61074975	-0.3429894	-4.486501		1.1905565	7.8940594																							0.325973965	-1.239962785	-7.606776	0.899736499999999	-0.9924877	3.11843965
0.422049955	-1.267945645	-3.30164		-3.8088723		5.7094602	0.0481232																							0.138397765	-0.699114885	-6.657367	0.616216199999999	-2.2862234	3.29303505
-5.4440232		0.023719025	-0.894791525	-5.08543105		-3.75487985																								3.9329147	-0.00107909999999967	-4.0397189	0.3997369	-7.23142265	-0.176264649999999
1.3527066	0.29861395	5.3277828	-0.325230700000001	-5.4502298		0.06974514	1.14253396																							2.62811305	-0.709156050000001	-6.1266098	1.7682199	3.2090324	-0.359786
0.927422275	6.940395375	-2.51599815		-6.31116415		0.27594539	3.16127279																							-2.0768029	-2.783676925	-0.31314212	-0.920789405	3.2090324	-0.359786
-0.26247984	0.12659589	-1.0227109	-0.0315114300000001	-3.62459625		4.230841	-1.92275085																							-6.23076155	-0.176264550000001	-7.26346205	-0.17626505	2.393686	-0.3006411
-4.0306591	-3.33932963	-3.51936555		-5.959368		-4.12476135																								-6.8731083	-0.46874565	-5.9376488	-0.1762646	0.84630848	-0.56167922
-4.94356865		-5.98390825		-3.28838595		-5.4909263																								-4.35343335	-0.886996999999999	-1.073235475	0.0955732900000001	4.41663145	1.2770223
-1.5657424		3.2986563	1.7714004	-5.6258165		-0.80187525	3.36641855																							-3.975824	2.06070105	2.375678	-0.7445597	-0.73033238	-1.218153535
-3.99150195		3.2986563	1.7714004	-5.4009067		-0.73869065	-1.514128715																							-6.6343429	-0.17626475	-2.2626504	-6.14693455	1.66346485	-0.364631
1.4985189	2.459985325	1.004187475	-0.465144075	-4.16235485		-4.19304405																								-6.6343429	-0.17626475	-0.97457015	-1.216349979	1.35084935	-0.21712205
-5.70027775		-5.0287303		-6.1215545		1.3391818	-1.01878285																							0.043400555	2.827939255	-0.224994288	0.596083597	-1.65209715	-2.489026575
-8.01189225		-5.611459		-4.74731735		-3.84914025																								-2.4174166	-0.997761	0.7716393	7.1223738	-3.0103625	-0.70696495
-1.025138935		-2.6318403		-4.2615205		-3.60043015																								-0.166372675	1.969205325	1.05492225	4.08868438	0.56263733	-2.51132812
3.76373525	2.33838075	-6.5727707		-5.05287645		3.57015285	0.20636055																							3.70764785	7.0253575	-0.88557835	-0.0284368599999999	-1.2416348	-1.27621741
-0.9905277	-2.2772324	-3.6075927		-6.56047365		3.81944025	-0.00214775000000023																							8.3866535	-0.398197999999999	-5.75631315	0.768219849999999	3.03404795	-0.0590136500000003
-5.6698937		0.293966455	0.15214962	-3.8713064		-5.04803395																								-3.7364109	-0.17626475	-2.66108525	-1.55443024	0.625234365	0.018406835
-5.6698937		-4.3543062		-4.4596594		8.3153545	0.147679500000001																							-1.55875496	3.14566344	-5.88735295	-0.10026325	-4.10352005	-0.3372287
-4.75101175		-1.3654726		-6.58558615		0.3907882025	-0.5292273675																							5.1325257	1.6384524	1.35072605	-0.1609352	1.50184075	-0.9024366
-4.75101175		-1.3493879		-3.300696		1.018657675	-1.160104375																							-6.0647995	-0.1762647	2.8104553	1.0811364	1.41752705	-1.0503553
-6.00649335		-1.6390357		-4.3048943		1.018657675	-1.160104375																							4.4292753	-0.8928797	-5.99473865	0.6922181	3.650753	-0.796191
-7.34943825		-2.7428993	-3.50394052	-3.3298118		-2.0108918	-1.553708445																							2.6930865	4.30857049	-5.68495135	-0.176264550000001	2.42252925	-1.08185205
-5.79998305		-3.51936555		-4.5451285		-2.0108918	-1.553708445																							6.483904	0.0598436999999992	-5.4817725	-7.6114992	3.6920718	0.40494285
0.48068544	0.5763829515	2.5506935	-0.30041925	-3.79819875		-0.604081175	-1.134938175																							3.79025595	-0.59007685	-5.36574085	0.8997368	-3.133585	2.8161822
-4.1312011		-3.6075927		-4.53873085		-0.55600501	0.109156005																							2.97921425	-0.78895685	-3.42344585	-0.10026315	3.3267577	0.0738820999999996
-6.22937135		-5.1086537		-3.7249497		1.6868073	1.394701974																							1.04441035	4.16838475	1.1583848	2.26081365	4.34752155	-0.19099715
-1.1581945	-1.557996575	-4.1979787		-6.2020335		4.6389132	0.9529905																							-0.258540395	-0.77234573	-1.9327924	-1.660617215	1.8024042	-0.0592990500000001
1.430770885	-2.336368415	1.8718966	0.5180246	-5.3048943		-0.83571685	0.478976																							-5.6318405	-0.1762647	5.5879539	4.736587225	-6.3942025	2.5607005
-5.8412935		1.8718966	0.5180246	-4.9569709		0.119519645	-0.652476755																							1.1024116	-0.8362612	-6.041981	-0.17626505	-1.05424835	-2.39243695
-2.4168025		-4.83194255		-4.79819875		1.66215855	-0.4113668																							0.98107873	-0.14295257	-6.55533785	-0.100263300000001	-1.44538545	-1.929932765
-6.32666765		-6.31178935		-4.79819875		3.5494635	-0.47691225																							-4.25383285	-4.5445715	-5.9917364	-0.176265000000001	-6.910651	-0.17626485
-2.5972319	-1.99873035	-5.37455715		-4.2141287		3.8027055	-0.238367																							2.3761965	-0.647744400000001	0.272256805	-1.125475795	1.57366685	-0.0763617000000001
-5.87630125		-6.56310295		-5.34944055		5.1008988	-0.322375249999999																							-1.91013855	-2.179477865	-3.19715085	-0.0482338499999999	-0.417028865	-0.737328915
1.86519015	-0.18003415	-4.7693435		-4.34700135		-4.45409535																								0.416005885	-1.136003815	-6.4091135	-0.17626465	2.27734765	-2.8773652
-4.7825187		-1.39360965		-6.0722018		-1.43747415																								0.58968833	5.30662713	-0.1115689675	1.3744447825	1.4681493	-0.9288164
-0.8512911	1.0953668	-5.79283185		-5.83955935		2.6445578	4.49592365																							0.13474417	-3.14209198	0.637883525	1.554994525	2.3711065	-0.4070375
2.26168285	-1.6290477	-5.81329625		-4.6217866		-0.498174405	2.819400945																							-3.02701625	3.60913155	-5.8166392	0.768218950000001	1.4232462	0.35643085
1.75199215	-0.14735955	-1.24851155		-0.99170728	4.29368842	1.8111433	-1.03952765																							-0.323780745	1.131248455	-7.29701835	-0.1762648	-5.88137425	-1.89865705
-1.18683315		-1.44931135	-0.53295407	-4.6635493		-6.37120825																								1.6641419	-1.6035663	-6.11296735	-0.17626485	-0.184407813	0.156649987
3.6277585	0.6943188	-5.37240795		-4.2247955		0.27646521	-2.39910234																							-4.29589865	1.58102165	1.7087355	-0.3972951	1.6208821	1.08947203
1.7656496	4.145507	-5.69243085		-4.3950157		-6.09200035																								-4.0985013	3.8794157	0.415357175	-1.156862725	-5.7031835	-0.17626475
2.63979835	0.1184532	-3.667464		-4.94088695		-4.15155425	-4.65362254																							2.2374959	0.1465514	-4.9098251	-0.17626485	-6.3932438	-0.176264600000001
3.5207777	-0.38163435	-4.0558665		-3.79114065		3.42790485	0.30259875																							-6.3451695	-0.1762648	-1.045578435	0.249956555	-5.3254299	0.692217600000001
2.2077707	0.1274922	-2.3099122		-4.84042685		3.21226245	-0.24102705																							3.3387382	0.7380856	-6.50302695	-1.54474785	-6.47816615	-0.1762646
2.09621235	0.1569983	-2.0468777		-6.76752065		-0.65905405	-1.8569244																							-2.814193	0.9438923	-2.5063095	-0.17626465	-5.43460795	-0.17626465
-6.3291941		-6.36519435		-7.123337		1.4842882	-0.000669699999999995																							-5.557841	-0.655943499999999	-3.45287	-0.17626485	-0.09938077	0.2678932
-6.6121702		-5.42769955		-7.52584975		0.51955686	-2.26192129																							-5.880833	0.399736249999999	3.24469065	-0.57991175	2.3909096	-0.6610999
-4.6524653		-2.9791908		-5.1666698		2.54922025	-0.32149045																							2.82057025	5.40285815	-5.402082	-0.17626455	-1.57521115	-0.2425836
0.78727854	4.01153539	-2.54937815		-6.07031155		-1.385842	-0.767321965																							-6.05082035	0.399736649999999	-6.46697835	-0.1762648	-5.5641535	-0.17626475
-6.06279465		-5.4149475		-6.75239515		1.10334635	0.73912175																							-6.4213377	-0.176264700000001	0.057825565	0.24531779	1.92454265	-0.1538358
-7.419057		0.5050591535	0.9609352235	-4.4091135		1.6473953	1.887105																							-4.38002875	1.5607009	-4.1651268	-0.8282678	-1.21967845	1.247508
-0.1576013365	1.7286784735	-3.73617685		-6.0149685		0.24517351	0.875710735																							-6.66109635	-0.17626465	-3.4931339	-0.1762648	-0.849780735	1.300082415
-5.63484235		-2.48535075		-4.0766251		4.57981875	3.3494345																							-6.34578035	-0.1762651	11.086102	0.449703	-5.823859	-0.1762648
-5.8902958		-3.78719175		-3.45287		-6.0258739																								-6.6873639	-2.7817133	-4.1952696	-0.1762649	2.0131572	4.53798085
-6.3603655		-5.85509105		-3.45287		-0.68121765	0.02432928																							-6.59264225	-2.17626425	-4.29480535	-0.1762648	-2.3017653	2.4846994
2.86399945	-0.115185550000001	-5.7012751		-3.45287		-2.29196165																								-6.3291941	-0.176264550000001	-1.046877725	-0.176264775	-6.0466521	0.975738499999999
3.617791	0.832249	-1.4095962		-4.13150895		-4.9180645																								-6.3932438	-0.176264600000001	-3.6197673	-0.17626465	3.18454325	-0.40064095
1.2144353	0.49550617	-4.6517398		-3.45287		2.5706755	-0.0821065999999999																							-6.75147295	-0.17626495	-7.1247617	-0.176264700000001	0.64171596	0.570255325
1.2144353	0.49550617	-3.29480515		-4.13150895		4.9347185	0.19819635																							-6.97564265	-0.176264900000001	-6.4420545	-0.1762647	0.54735778	-2.48562857
-6.5312308		-1.9213469		-4.10577135		5.0944198	-0.149239699999999																							-2.81359165	-3.7553794	-6.31116415	-0.1762648	-0.12067223	-2.44243668
-0.12932169	0.78069074	-2.3438906		-4.0883544		-2.66439595	-3.4766584																							2.14697725	-2.3960746	-4.6752625	-0.17626485	-1.42778985	-0.87553945
3.42007445	1.50409665	-4.6318405		-4.07279235		-1.8268957																								-6.38375625	-0.176265099999999	-5.1086537	-0.252266049999999	2.9922563	0.4486833
0.08967255	0.96123885	-4.3386917		-4.07279235		0.4828928	4.75401345																							-1.30853585	-1.259210045	-2.4823375	-1.24090635	3.5443213	1.321677
3.27614415	-0.0388278999999998	-2.6477817		-5.2314225		3.1457252	0.0472494000000001																							-6.87744685	0.69221795	-5.610646	-0.1762648	4.62572185	-0.73892715
-1.45994535	-0.866675535	-3.70222965		-4.755729		3.6410077	0.67537725																							-2.7262509	-2.72781002	-5.1086537	-0.176264699999999	-0.122430857	5.210304943
0.568272665	0.371202285	-3.1057714		-6.14209885		-0.04522905	0.849048375																							-0.17065948	1.69157237	-4.5236915	-0.17626475	-1.4392688	-0.948424919
-5.50942935		-1.1496991		-4.58362195		3.66022985	-0.468472750000001																							-5.4016902	2.3794156	-2.5063095	-0.17626465	1.1655121	0.1137516
-1.67427225	-0.898657135	-3.94088685		-4.4798373		-1.86591745	-1.563262835																							-7.60197835	-0.176264549999999	-5.3298115	-0.1762645	2.1726217	-1.43010165
4.04058275	0.353760100000001	-4.3322799		-4.5252255		-0.233914515	1.523631435																							-5.22312765	1.69221835	-5.10432815	-0.176264400000001	-7.48582625	-3.33722855
-5.67404665		-1.47713975		-5.97287735		-6.8785682																								-4.8934965	-2.21028755	-4.6014665	-0.176264349999999	-6.684469	-0.1762652
-2.621582	-2.26844687	-1.47713975		-3.7766117		-6.398852																								-3.3161277	-2.740814202	-3.78023205	-0.176264750000001	-4.1659076	-1.287461
-0.504277105	3.557311545	-1.0117063		-4.48206185		-4.19409325																								-3.3161277	-2.740814202	-6.5641535	-0.17626475	2.99184645	7.75147265
-6.41320015		-1.0117063		-4.694576		-0.230656505	-1.05412474																							0.1083371275	-2.2488618225	-6.5360565	-0.176264499999999	-5.73367765	-2.4819823
-0.02925206	4.54612739	-3.42153765		-3.4300059		3.3866597	-0.17483475																							-8.1045083	-0.176264450000001	-7.1194124	-0.1762645	-6.33535935	-0.1762648
-0.02925206	4.54612739	-1.00032307	-1.651809935	-3.2998397		2.53320505	0.23488775																							-6.40460965	-1.579942	-6.0825013	-0.176264450000001	-6.346391	-1.3282676
-4.64083		-3.52750995		-4.36880575		0.8542921	-0.40298455																							-4.070025	0.01539965	-7.09527365	-0.17626465	0.07940615	-1.0126593
0.59160199	-1.05426206	-3.92462195		-6.1823305		5.4753858	0.0316717999999998																							-4.900685	0.455252499999999	-6.78892545	-0.10026325	-5.3631935	-0.676264750000001
3.26623035	-0.82448615	-4.4528701		-4.9048588		-0.19687732	-0.56297468																							0.730647865	2.199874535	-3.51936555	-0.17626465	1.80484455	-0.28260035
-2.0003175		1.5159873	-0.18034395	-3.6907339		-4.548607																								1.75010065	-0.3460582	-3.43919515	-0.1762646	1.1681245	-0.0708804000000001
-2.79815245		-1.9818274	-1.29300975	-3.3738008		2.471628	-0.9554878																							-0.90162812	-0.0238375	-4.613693	-0.176264799999999	0.11625202	-0.01552728
1.1595786	6.005091	-0.7359115	2.40869805	-4.5128525		3.19590355	-0.969964050000001																							0.782562265	-0.517349485	-6.4511676	-0.1762646	-0.05305195	0.8314354
1.39491585	-0.49101325	-3.5406307		-5.86837025		-5.0287303																								-1.66804135	-0.312450945	-0.81241255	-0.17626478	5.1554138	0.30600815
0.42932132	-0.183941105	-6.1079335		-5.45852965		-5.3198963																								-0.90016885	-0.8369791675	-1.046877725	-0.176264775	-3.46260475	2.57763275
-0.185854	-0.593384505	-3.9278895		-3.7678891		-5.0226302																								-1.19295592	0.581742795	-2.76934385	-0.17626475	3.13694225	-0.595394150000001
-2.4287908		-1.729451125		-7.29227215		-5.1484157																								-0.315814275	-0.305793604	-4.578779	-0.176264799999999	1.192962535	-0.384849565
-1.66024755		1.08827675	0.7223928	-3.7583727		-6.2241314																								-0.99311577	1.36533488	-1.5323045	-0.1762647	-6.18301415	-0.1762645
0.5221533	0.45021365	-4.42592925		-4.37600135		-6.3908777																								-6.76464605	-0.100263049999999	-0.63184037	-0.176264745	-6.1644345	-0.17626505
-6.1815448		-4.42592925		-4.0287304		-1.7916191																								-0.80375016	-1.25510016	-1.76934375	-0.17626475	1.1123126	0.35468255
1.38490005	-0.15413725	-1.010211165		-3.7174158		-5.98390825																								-6.9131265	-0.17626485	-0.97287713	-0.17626468	-6.85034885	0.69221815
4.93939335	-0.32067215	-4.159578		-1.8083342	-1.0153005	3.78107775	0.624866249999999																							-4.9700843	2.6922175	-0.8948747	-0.176264765	0.56763158	-0.0287932399999999
-3.01926515		2.4221705	0.4646307	-1.19642445		2.4137566	0.0335749000000005																							-1.24192735	0.4265859	-5.86960765	-0.176264499999999	6.1945834	0.353491200000001
-1.1409535	-2.63160017	-2.8865619		-6.57200725		1.5188553	0.00452144999999993																							-1.9825805	-2.780635275	-1.7249496	-0.17626475	-0.75039832	-2.25172957
2.3678268	-0.8834894	-4.2764269		-4.0707247		1.72638125	-0.3643561																							-2.0541529	-0.095129	-3.8915313	-0.17626485	5.941735	0.39890505
-3.8470031		-6.4190171		-3.8713064		-6.51067435																								-4.16526915	-2.93550825	-5.8542325	-0.1762647	-1.7763072	-1.32489038
-0.4869826075	-1.6980458075	-4.0559403		-4.1229807		3.19846375	-0.34178275																							3.110317	0.4384737	-4.69265635	-0.1762648	-3.51983295	-4.8532094
0.5638449	5.77110615	-3.83382355		-2.76934385		3.136132	0.2316167																							-5.8023708	-0.8837835	-3.397375	-0.1762649	-0.779211815	-2.429255065
6.045229	0.84454165	-4.48206185		-6.05810465		-2.1722489	-1.34865915																							1.98221865	2.109828185	-5.4517355	-0.1762645	0.578151865	0.165204045
8.06752175	-0.200459749999998	-4.8035453		-3.9278895		-0.4640915975	-0.8399762975																							2.8606218	-0.1163306	-4.3567331	-0.176264849999999	-1.51304455	-0.0348432000000001
-2.19207895		-3.65173995		-5.6217868		0.475963025	-0.9426197																							-4.8017653	-0.176264849999999	-4.28209435	-0.1762649	3.5817609	1.0762271
-6.1939133		-5.7436133		-5.34333515		2.00981435	-0.91987575																							-4.12700055	1.2682198	-3.40383575	-0.7522664	5.16327	-0.143836749999999
-3.0546358	-2.1085641	-5.6537149		-7.2104435		0.125612885	-0.872793765																							3.0678945	-1.4048885	-5.0735724	1.0607008	3.8923073	0.64029255
2.1061776	1.3126165	-5.6537149		-3.1512144		-1.28074565	-1.51813593																							3.7395636	0.28669425	-2.66142235	2.67189765	0.5800923	-1.5281574
3.11423435	1.20761405	-5.6537149		-6.218138		2.5460951	-0.61124425																							-1.73632055	-0.7228194	-4.4909263	-0.1762648	2.1001151	-0.489053
-4.9776151		-5.0588505		-4.5365917		0.8423455	-0.72198705																							-3.3535435	1.6367022	-4.03177095	-0.176264900000001	1.34404745	-0.13422655
1.1348171	-3.8463104	-4.2406495		-4.17065435		1.00772005	7.49989685																							4.475722	0.0548912000000001	0.02902241	2.16277121	-2.9079477	3.3531823
1.66998555	-5.0818748	-4.2406495		-6.30300765		-0.090524465	-2.212756915																							2.2616384	0.3055011	-3.9823373	-0.1762646	-5.83347425	-0.1762651
3.5367066	-1.1782514	-6.61673335		-7.60146675		-4.85282115																								-4.64987235	-3.28289995	-6.255681	-0.17626445	3.2809521	0.2910671
-2.0720197	-2.66669155	-4.2406495		-4.7079433		2.57382565	0.70332205																							-5.8711865	-2.33722875	-4.68108375	-0.176264600000001	-3.14683145	1.0749858
-2.98329135		-5.0588505		-2.9878243		2.57382565	0.70332205																							-1.53187665	-0.51921038	-3.97337655	-1.25226645	-0.090525642	-1.215914542
0.248662395	6.721664895	-5.4764935		-5.87723465		2.94867865	-0.8987469																							-6.8365202	-0.176264450000001	-3.6238029	-0.17626455	0.717048025	-0.639713425
-2.8966223		-5.7990911		-6.253078		0.52531365	0.337520275																							3.234535	-0.4854624	-4.6217866	-0.176265000000001	-2.19960735	-1.46915018
-1.4953957		-4.9048588		-4.68108375		-3.4269915																								-4.6567428	1.0607007	-4.1979787	-0.1762647	-6.14490985	-0.1762646
-4.4304232		-4.49313405		-3.0825015		-3.4269915																								1.2130782	-0.2659265	-4.4137828	-0.1762648	5.6698972	0.1707967
-5.6069445		-6.5392655		-7.4003189		3.1889251	-1.1284124																							-8.13150875	-0.17626475	-4.6035115	-0.176265	-0.382085355	-1.934354705
