ES_mean_A_No_ES_Enh_only	Rel_exp_A_No_ES_Enh_only	ES_mean_N_No_ES_Enh_only	Rel_exp_N_No_ES_Enh_only	ES_mean_B_No_ES_Enh_only	Rel_exp_B_No_ES_Enh_only	ES_mean_A_ES_NEDE_only	Rel_exp_A_ES_NEDE_only	ES_mean_N_ES_REDE_only	Rel_exp_N_ES_REDE_only	ES_mean_N_ES_NEDE_only	Rel_exp_N_ES_NEDE_only	ES_mean_A_ES_nonEnhTE_only	Rel_exp_A_ES_nonEnhTE_only	ES_mean_A_ES_REDE_only	Rel_exp_A_ES_REDE_only	ES_mean_B_ES_NEDE_only	Rel_exp_B_ES_NEDE_only	ES_mean_N_ES_nonEnhTE_only	Rel_exp_N_ES_nonEnhTE_only	ES_mean_B_ES_nonEnhTE_only	Rel_exp_B_ES_nonEnhTE_only	ES_mean_A_Mixed	Rel_exp_A_Mixed	ES_mean_N_Mixed	Rel_exp_N_Mixed	ES_mean_B_ES_REDE_only	Rel_exp_B_ES_REDE_only	ES_mean_B_Mixed	Rel_exp_B_Mixed	ES_mean_All_A	Rel_exp_All_A	ES_mean_All_B	Rel_exp_All_B	ES_mean_All_N	Rel_exp_All_N
-4.1925553		3.1065912	-0.2529408	-6.2161347		-5.4329989		5.06968665	-0.0426077500000002	-5.4887155		4.98857865	-0.0426818500000001	2.8502873	1.1730239	-6.9693135		-5.2367023		0.88898445	0.6916799	-3.17444945				-7.7225995				-4.1925553	-1.32826795	-5.73150975	-0.17626485	1.84667375	-0.66765025
-5.7436133		-0.845126575	2.029448325	-6.156082		-5.07072465		-4.36898635		-5.08338085		-5.2302918		2.3799092	2.016135975	-5.97208565		-4.8197224		-6.3471303		-4.6318405				3.08412935	-0.22823845			-5.7436133	-0.1762645	-6.2161347	-0.176264699999999	1.6620288	-0.0886292500000001
0.68082875	-0.25033488	2.7122677	-0.0552565999999999	-3.9433114		-5.6916953		-2.21693315		-6.21804525		-3.3953859		1.5524179	-0.18897425	-5.5476918		-5.114732		-5.6635493		-5.1086537				-5.1086537				0.68082875	-0.25033488	-6.156082	-0.100262949999999	-1.42059185	-2.4529688
1.5594893	-0.959503	1.45583445	2.73594935	-4.1952696		-4.8088722		-4.7155264		-3.3518015		-7.09552815		2.8461807	2.389803015	-5.043869		-0.70216452	-0.209821785	-1.9710276		1.4256386	-0.0116162499999999			-6.9400783				1.5594893	-0.959503	-3.9433114	0.475738300000001	3.1065912	-0.2529408
-5.96653555		3.08225535	-0.48233185	-2.4899185		-5.44490885		1.4872676	1.1718398815	2.3988198	0.4490239	-2.92459865		0.929491	0.0738625300000001	-1.3321678		-1.2217235	-0.87626847	5.3228157	0.327041149999999	-4.07956635				-4.43000605				-5.96653555	-0.252266049999999	-4.1952696	-0.1762649	-0.845126575	2.029448325
-4.6238029		1.89696875	0.18475085	-4.76203895		0.5184709355	-0.3335390645	-5.6399325		3.2726822	0.0379567999999999	-4.1659778		3.8470905	-0.14407325	2.20604895	-3.01257465	-5.42592935		-6.99719045		-1.28376905	-1.15837025			-3.6438129				-4.6238029	-0.176264249999999	-2.4899185	3.26821995	2.7122677	-0.0552565999999999
-5.03328865		-5.01343135		-3.70222965		-5.446049		-3.33061575		-4.68237115		3.0426367	0.5521625	0.43990539	-0.78138421	-2.96776415		-1.62117355		-5.35552		1.0576673	0.472835885			-4.8106435				-5.03328865	-0.252266150000001	-4.76203895	-0.1762648	1.45583445	2.73594935
-4.5829305		0.0791020425	-1.0541011575	-3.8780795		-4.613693		-3.12334845		2.71179855	0.3697108	-5.6172669		2.5690343	0.24229375	-4.0647995		-7.01650405		-6.6438129		-4.75518525				-5.0825015				-4.5829305	-0.17626465	-5.43690335	-0.1762649	3.08225535	-0.48233185
-4.47972775		-5.3828017		-4.69073385		-5.3608365		7.2898562	1.6949777	3.1615721	0.0700384499999998	-4.2406495		2.3112517	2.778405485	2.22013275	-1.62416045	-6.3570359		-6.2890995		4.5353601	0.42002955			4.3798055	0.16115115			-4.47972775	-3.2409066	-3.70222965	-0.17626475	1.89696875	0.18475085
2.33385715	0.19414355	1.73876995	-0.70823935	-3.8542325		1.13248955	-0.9526853	-4.334744		-5.694576		-3.8662789		-4.65938255		2.97602865	1.4669290575	1.4095894	-0.54522255	-5.5236915		-0.116600726	-1.469756426			-3.87419615				-4.5869081	-0.515300850000001	-3.8780795	-0.17626475	-5.01343135	-0.17626465
