TS_REDE_es_mean	TS_REDE_ts_mean	TS_REDE_Rel_exp	TS_NEDE_es_mean	TS_NEDE_ts_mean	TS_NEDE_Rel_exp	TS_nonEnhTE_es_mean	TS_nonEnhTE_ts_mean	TS_nonEnhTE_Rel_exp	No_TS_Enh_es_mean	No_TS_Enh_ts_mean	No_TS_Enh_Rel_exp	es_mean	ts_mean	Rel_exp
3.0241234	-1.30440715	4.32853055	-2.96776415	-2.79149965		-0.536031435	-1.358425415	0.82239398	3.09509005	2.39737175	0.6977183	3.2982166	2.84727285	0.45094375
-6.8251741	-5.496906		-0.773386265	-0.597121595	-0.17626467	-5.3198963	-5.1436315		3.3799862	3.2209601	0.1590261	-8.3758515	-3.58517795	
-4.38002875	-5.94072965		-3.9530398	0.0698073185	-4.0228471185	-7.27936675	-4.1699779		-1.4439526	-2.3135703		3.09509005	2.39737175	0.6977183
-6.6873639	-3.9056506		-4.1902463	0.910228165	-5.100474465	-6.84086025	-6.66459585		3.3767652	4.08081885	-0.70405365	3.3799862	3.2209601	0.1590261
2.4038875	2.77427085	-0.37038335	6.483904	6.4240603	0.0598436999999992	-5.75368435	-4.36094015		5.8534305	5.9215522	-0.0681216999999998	-1.4439526	-2.3135703	
-2.98329135	-1.06842345		0.416005885	1.5520097	-1.136003815	1.4490391	1.80411865	-0.35507955	1.5877581	1.87215945	-0.28440135	3.3767652	4.08081885	-0.70405365
4.647805	5.4101138	-0.7623088	-1.73632055	-1.01350115		-1.17853868	-3.92571575		-3.8542325	-3.6779681		5.8534305	5.9215522	-0.0681216999999998
1.91448735	1.6609412	0.25354615	3.4213458	3.7941655	-0.3728197	0.756113175	1.6294257	-0.873312525	0.47537365	1.75701455	-1.2816409	1.5877581	1.87215945	-0.28440135
-4.295017	-7.092683		2.2261119	1.99730895	0.22880295	7.509076	7.9595013	-0.450425299999999	-4.63384265	-4.457578		-3.8542325	-3.6779681	
-2.04060765	1.01696288	-3.05757053	-0.17391273	0.135331405	-0.309244135	1.5401751	1.8580433	-0.3178682	2.7781187	3.8347845	-1.0566658	0.47537365	1.75701455	-1.2816409
1.48085965	1.458654875	0.0222047749999998	3.76373525	1.4253545	2.33838075	-4.6517398	-4.475475		0.1115100985	-0.279953573	0.3914636715	-4.63384265	-4.457578	
1.3508088	1.79381745	-0.44300865	2.74617915	1.9915555	0.75462365	-4.3783918	-4.2021272		2.5392106	1.94347515	0.59573545	2.7781187	3.8347845	-1.0566658
1.4514254	2.96594095	-1.51451555	5.616417	5.887829	-0.271412	-1.48541925	-0.47977937	-1.00563988	-1.74081705	0.02909191	-1.76990896	0.1115100985	-0.279953573	0.3914636715
-6.44547915	-6.2692144		-6.32666765	-3.170724		3.7769056	-0.9132475	4.6901531	2.939736	2.16644615	0.77328985	2.5392106	1.94347515	0.59573545
0.47767263	1.4195603	-0.94188767	0.556684955	-0.553408015	1.11009297	3.74083375	2.1343697	1.60646405	-0.293697	0.84552798	-1.13922498	-1.74081705	0.02909191	-1.76990896
-2.70862115	1.42385785	-4.132479	-2.19207895	-3.73820655		-6.4733765	-6.3731134		-5.61267805	-5.436413		2.939736	2.16644615	0.77328985
-1.38354105	4.01573085	-5.3992719	1.85266585	2.4621969	-0.60953105	-6.1236933	-5.94742865		-5.0736777	-4.897413		-0.293697	0.84552798	-1.13922498
3.441764	4.02991735	-0.58815335	1.3263812	0.8802823	0.4460989	-5.99563435	-5.81936955		1.30514875	1.372049935	-0.0669011850000001	-5.61267805	-5.436413	
-0.696441635	-0.77365692	0.077215285	-4.6869523	-5.5106875		-4.9315002	-5.6237182		0.45709368	1.12059095	-0.66349727	-5.0736777	-4.897413	
-5.46529265	-3.809349		5.48945045	4.9708817	0.51856875	0.93542292	-2.7279171	3.66334002	-4.82029845	-4.7200352		1.30514875	1.372049935	-0.0669011850000001
1.7260473	1.39918585	0.32686145	1.7661237	2.8781279	-1.1120042	-4.0072658	-3.83100125		3.010872	3.07684695	-0.0659749500000002	0.45709368	1.12059095	-0.66349727
-7.0819978	-8.066697		-7.1932343	-7.01696945		0.577248765	-4.19344075	4.770689515	-1.34836705	-2.6883315		-4.82029845	-4.7200352	
-2.38696985	1.2764541	-3.66342395	2.28239405	0.229495675	2.052898375	1.6985762	1.8179801	-0.1194039	-0.439399192	-1.4168487	0.977449508	3.010872	3.07684695	-0.0659749500000002
2.1000839	3.2771432	-1.1770593	3.1466422	3.7791915	-0.6325493	0.846804225	1.95516645	-1.108362225	-3.0287304	-2.85246565		-1.34836705	-2.6883315	
-3.8691353	-5.14631605		-0.803787325	-0.99032696	0.186539635	-0.48783089	-5.86193395	5.37410306	0.04749684	1.10277165	-1.05527481	-0.439399192	-1.4168487	0.977449508
-1.62117355	-6.08555165		-2.3284327	0.13167443	-2.46010713	2.7765527	3.20496285	-0.42841015	-1.77289155	-0.88198157	-0.89090998	-3.0287304	-2.85246565	
2.5152312	3.67149565	-1.15626445	4.12008115	2.27684545	1.8432357	-4.1969923	-6.13192365		-5.94250365	-5.766239		0.04749684	1.10277165	-1.05527481
-6.3570359	-6.25677275		1.84373315	-0.46736869	2.31110184	-6.319896	-6.1436312		-3.62386185	-5.7197575		-1.77289155	-0.88198157	-0.89090998
-2.1196691	-3.44340435		5.41206	6.162148	-0.750088	0.43613796	0.746167715	-0.310029755	1.84667375	2.514324	-0.66765025	-5.94250365	-5.766239	
-4.67120255	-4.9949378		-2.5371451	-0.30308273	-2.23406237	-7.78023195	-7.60396715		-3.3402826	-4.0325007		-3.62386185	-5.7197575	
4.24538495	4.91955615	-0.6741712	-1.79986845	0.255077115	-2.054945565	-6.8004285	-6.62416385		3.102614	3.0077853	0.0948286999999999	1.84667375	2.514324	-0.66765025
3.86335615	3.87586995	-0.0125138000000002	-2.97387135	-2.58895525		-0.415190125	-8.142608	7.727417875	3.1388993	2.71310625	0.42579305	1.6620288	1.75065805	-0.0886292500000001
