NEDE Nearest.dist	NEDE Chicago.dist	NEDE Gothic.dist
23823.5	142250	38879
50624	109714	18270
7525.5	257425	9544
74377	177266	51624
10788.5	305785	71966
52128	143775	7255
51104.5	135991	13292
12136	79309	20591
3098.5	72355	44560
1108	58557	86412
66488	28446	166396
97260	20688	84548
18621.5	77470	7813
25706.5	501684	1
44123.5	108233	76575
7874	385805	50380
3388.5	378880	101495
52046	323471	46007
14699.5	158444	128004
13342	232863	34833
68123.5	103415	20181
45609	103415	125055
15873	109416	64408
22148.5	88083	40664
1827	47598	1590
6361.5	4405	13737
38940.5	25910	66500
58909.5	10393	144128
17577.5	201314	225810
7658.5	98010	94310
94238.5	85340	70446
14445	72821	52603
1405	377231	25254
8761	433866	15059
1492	105701	86836
14915.5	110573	51125
79926	65382	127205
79986.5	270016	107159
25717	328322	127205
29499.5	45860	103938
5453.5	56821	37665
66108.5	156267	12804
48992	267083	21671
61467	141820	1
6779	83307	15938
5070	791397	22924
3401	249382	75662
5506.5	498130	1646
1298.5	135247	47696
8403.5	127209	150990
8596	159472	32921
86865.5	196683	26670
44956.5	25520	6392
76345	21913	17507
64665	2917	36991
24013	176817	290203
69626.5	65133	290203
25814	7400	15130
19543.5	145452	73430
34455.5	200324	48158
10419	281792	43895
87178	224249	63342
41274	218155	37897
96217.5	207270	1
5845	166300	26010
29128	102233	82425
12433	152452	14017
47694	78771	13348
4712	60361	5483
48581.5	150766	52723
27930	478356	174443
4500	583252	148102
36022.5	276764	90133
22859.5	30825	60976
30253	87021	24770
29731	78330	6558
41282	16223	32258
8881	156860	17209
20663	184020	37469
43418.5	205669	2162
29985.5	518665	38829
13640	108459	1
19790	226026	37245
4876	149587	201234
8663.5	248639	68590
8314	264757	6829
10157	20279	15901
2384.5	1395212	35999
4742	407110	69556
18839	397835	78242
57158.5	383827	37391
13160	374635	725
23373	353284	8132
6061	358800	196867
13412	337449	24397
8328	199415	2008
931.5	122053	18953
47224	339064	5391
21359	1761	73705
19710.5	59645	78040
94189	117534	22733
18809	79187	44694
23719	7670	117307
8879.5	294017	43925
26227.5	194547	32715
56649	254183	29213
40005.5	270544	110601
60233.5	203489	107912
62226.5	252599	2768
36475	1523856	40269
4110.5	23761	8216
27114.5	80221	97043
49309.5	5219	842
31254	172181	8179
37380.5	113797	300033
37412	73238	160286
36543	499364	28866
25889	177469	8186
39619	69703	50815
8760.5	121345	77625
49068.5	175272	37190
6112	219719	199
25794.5	82243	22471
18458	112193	73228
39546	1843	17022
39709	82514	37333
12632.5	81399	18044
12684	81399	195850
5312	128939	27007
44887	128939	6583
33755.5	309158	4499
25912.5	309158	35131
1962	309158	121017
5323.5	142011	62515
7964	156176	9810
10463	126751	21899
70138.5	90324	20053
11194.5	10760	151010
17141	148740	65163
16337	449541	44485
33168	348807	11967
12675.5	554983	79421
6020.5	25968	154193
71221.5	148147	178154
2919	178450	35680
85543	359754	14982
29552	21963	110521
31713	103748	54051
17785.5	90318	62149
15710.5	18614	49076
12970.5	160873	20166
17874.5	176994	33460
42058	124604	47147
44249	30523	77615
14936.5	1491	68601
24547	18354	51365
29391.5	175380	183551
17218.5	25595	230946
6265.5	401798	316571
28261.5	342027	130126
99819.5	428758	97641
28535	58998	10737
3434	265546	70106
38421	28769	138325
8596	4653	115261
5754	3588	1
30752	208163	6252
2665.5	90151	60647
3324.5	81027	73155
27559	21610	26102
27918.5	104131	26102
12703	341772	1
30916.5	341772	133002
31185.5	283102	77523
28287	300243	77523
2967.5	283102	154425
14440.5	34312	422019
4464.5	34312	156898
27440	95974	6003
12622.5	1495	144002
7803	428537	31635
5161.5	143073	44531
25721.5	182836	57134
14115.5	74219	11793
3076	120318	17846
83012.5	96834	46672
16069	94824	57590
8939.5	44293	86048
71525.5	27869	1
18927.5	28392	144540
13461.5	71694	150460
15143.5	79540	43669
4126.5	35292	5027
1522	109861	35762
11259	97209	118070
6448	177503	187466
16220.5	180506	690
16295.5	261130	2451
84895	179679	65675
87673.5	176845	73478
12424.5	562088	20080
95890.5	101707	15404
47368.5	101707	12830
1681	94158	218111
12258.5	91777	422
1678	47111	2857
48666.5	2211	139441
3504	387514	67526
1904.5	118416	627848
37827.5	5012	12261
13388.5	467355	11866
32208.5	331155	642946
93370.5	342182	1
94275	342182	100299
7289	368350	25
12319	368350	25
34612	57048	57907
20455.5	181702	57907
12214	54835	73895
86507.5	298431	73895
53027.5	201769	37720
51206.5	187611	37720
8891.5	89772	53945
9831	114999	39790
14704.5	49414	25833
4144.5	110459	1
38074	75417	6392
94181.5	41467	69704
8897.5	276719	146059
6240.5	230207	34316
33912.5	202024	63348
10042.5	149455	5186
9643.5	372521	47259
46404.5	79733	344905
33380.5	207566	7639
3839.5	84167	1
18964.5	168527	49850
70673	3185	73067
34703.5	2625	27250
89856.5	31581	160586
18082	85151	45355
45866	65094	76139
23476.5	71568	43423
23192.5	206326	12639
71548	209666	50754
46087	260081	4966
7658.5	344548	104061
60277	189158	5626
16391.5	301298	19624
798	245606	71717
19643	224611	48303
9307	29006	7375
31229.5	132641	42015
79538	116532	165597
4419	207803	16342
14547	336679	11578
18315	281532	152523
50486.5	131945	92478
81335.5	158835	333250
15890.5	119560	26755
12162.5	105268	150319
11712	237224	44523
37102.5	783249	1
47565	394556	131325
941	252765	4629
3365.5	9769	61119
23743.5	1062736	71155
9622	97849	155276
44782	60635	24088
