MM4	MM3	MM2	MM1	MM0
.	144	10	1	0	0
(TCCA)n	1	0	0	0	0
(TG)n	1	0	0	0	0
B1_Mus1	0	1	0	0	0
B2_Mm1t	0	1	0	0	1
B2_Mm2	0	1	0	0	0
B3	1	0	0	0	0
B3A	3	0	0	0	0
B4A	1	0	0	0	0
ERVB4_1B-LTR_MM	3	0	0	0	0
Eulor6D	1	0	0	0	0
GA-rich	1	0	0	0	0
ID_B1	1	0	0	0	0
ID4_	1	0	0	0	0
L1_Mur2	2	0	0	0	0
L1_Mur3	3	0	0	0	0
L1_Mus1	7	1	0	0	0
L1_Mus2	3	0	0	0	0
L1_Mus3	4	0	0	0	0
L1_Mus4	2	0	0	0	0
L1_Rod	1	0	0	0	0
L1M2	2	0	0	0	0
L1M4	1	0	0	0	0
L1M4b	1	0	0	0	0
L1M5	1	0	1	0	0
L1MA6	1	0	0	0	0
L1MA7	1	0	0	0	0
L1MB5	0	1	0	0	0
L1MB8	1	0	0	0	0
L1MC1	1	0	0	0	0
L1MD	1	0	0	0	0
L1Md_A	6	1	0	1	0
L1Md_F2	25	0	0	0	0
L1Md_F3	8	1	0	0	0
L1Md_T	3	0	0	0	0
L1ME1	1	0	0	0	0
L1ME3	0	1	0	0	0
L1MEc	1	0	0	0	0
L1MEd	0	1	0	0	0
L1MEh	1	0	0	0	0
L1VL2	1	0	0	0	0
L2a	1	0	0	0	0
LTR16E1	1	0	0	0	0
Lx	12	0	0	0	0
Lx2	2	0	0	0	0
Lx3_Mus	1	1	0	0	0
Lx5b	0	1	0	0	0
Lx6	1	0	0	0	0
Lx7	2	0	0	0	0
Lx8	4	0	0	0	0
Lx9	1	0	0	0	0
MERVL_2A-int	1	0	0	0	0
MLT1A	1	0	0	0	0
MLT1D	1	0	0	0	0
MMERVK10D3_I-int	1	0	0	0	0
MT2A	1	0	0	0	0
MTE2a	1	0	0	0	0
MTE2b	1	0	0	0	0
MTEa	1	0	0	0	0
MYSERV6-int	1	0	0	0	0
ORR1B1	1	0	0	0	0
Ricksha_0	1	0	0	0	0
RLTR13D1	0	0	3	3	0
RLTR13D2	4	1	0	1	0
RLTR13D3A	9	0	0	0	0
RLTR13D6	70	61	47	85	108
RLTR13E	0	0	0	2	1
RLTR13G	2	3	17	43	98
RLTR18	1	0	0	0	0
RMER10A	2	0	0	0	0
RMER30	1	0	0	0	0
