MM4	MM3	MM2	MM1	MM0
.	123	13	1	0	1
Arthur1	1	0	0	0	0
B1_Mur1	1	0	0	0	0
B1_Mur4	1	0	0	0	0
B1_Mus1	2	1	0	0	0
B1_Mus2	1	0	0	0	0
B1F1	2	0	0	0	0
B3	1	0	0	0	0
B4	43	9	0	0	0
B4A	21	2	0	0	0
ERVB4_1-I_MM-int	1	0	0	0	0
ERVB4_1B-LTR_MM	0	0	0	0	1
ETnERV-int	0	1	1	0	0
ETnERV2-int	2	6	15	14	10
ID_B1	1	0	0	0	0
L1_Mus3	1	0	0	0	0
L1MA9	1	0	0	0	0
L1MB5	0	1	0	0	0
L2	1	0	0	0	0
L2a	2	0	0	0	0
Lx2A	1	0	0	0	0
Lx2B2	1	0	0	0	0
Lx4A	1	0	0	0	0
Lx5c	1	0	0	0	0
Lx7	2	0	0	0	0
Lx8	2	0	0	0	0
MER20	1	0	0	0	0
MERVL_2A-int	1	0	0	0	0
MIR	1	0	0	0	0
MLT1C	2	0	0	0	0
MMERVK9C_I-int	0	1	1	0	3
MMERVK9E_I-int	0	1	2	5	11
MMETn-int	0	0	0	1	0
MT2A	1	0	0	0	0
MTD	1	0	0	0	0
MTE2b	2	1	0	0	0
MTEa	0	1	0	0	0
MTEb	0	1	0	0	0
MurERV4-int	2	0	0	0	0
ORR1A3	1	0	0	0	0
ORR1B1	3	0	0	0	0
PB1D10	1	0	0	0	0
PB1D11	1	0	0	0	0
RLTR13D1	0	1	0	1	0
RLTR13D2	1	0	0	0	0
RLTR13D6	41	37	46	76	80
RLTR13E	0	4	7	24	25
RLTR13G	0	7	18	24	14
RLTR18	1	0	0	0	0
RLTR22_Mur	1	0	0	0	0
RLTR53B_Mm	1	0	0	0	0
RLTR9E	0	0	0	0	1
RMER13A2	1	0	0	0	0
RMER15	1	0	0	0	0
RMER19B	1	0	0	0	0
RMER20C_Mm	1	0	0	0	0
RMER4B	1	0	0	0	0
RSINE1	1	0	0	0	0
