MM4	MM3	MM2	MM1	MM0
.	94	10	0	0	0
AT_rich	2	0	0	0	0
B1_Mur4	1	0	0	0	0
B1_Mus1	5	0	0	0	0
B1_Mus2	6	0	0	0	0
B3A	3	1	0	0	0
B4	6	0	0	0	0
B4A	10	2	0	0	0
ETnERV2-int	2	2	1	0	0
GA-rich	1	0	0	0	0
HAL1b	1	0	0	0	0
ID_B1	3	0	0	0	0
L1_Mur2	0	1	0	0	0
L1_Mus1	0	0	0	1	0
L1_Mus3	1	0	0	0	0
L1M2c	1	0	0	0	0
L1MA7	1	0	0	0	0
L1VL4	1	0	0	0	0
L2	1	0	0	0	0
L2c	1	0	0	0	0
Lx	1	0	0	0	0
Lx2B2	1	0	0	0	0
Lx3_Mus	4	0	0	0	0
Lx3A	6	0	0	0	0
Lx3B	6	0	0	0	0
Lx3C	4	0	0	0	0
Lx8	1	0	0	0	0
Lx8b	1	0	0	0	0
MIRb	0	1	0	0	0
MIRc	1	0	0	0	0
MLT1F2-int	1	0	0	0	0
ORR1A4	1	0	0	0	0
ORR1B1-int	1	0	0	0	0
ORR1E	1	0	0	0	0
RLTR13D1	1	3	0	1	0
RLTR13D6	1	13	33	55	84
RLTR13E	65	80	38	30	2
RLTR13F	0	1	0	0	0
RLTR13G	39	30	34	17	5
RLTR17	1	0	0	0	0
RLTR24	1	0	0	0	0
RLTR25B	1	0	0	0	0
RLTR28B	1	0	0	0	0
RLTR9E	0	0	0	1	0
RMER15	1	0	0	0	0
RMER17C2	1	0	0	0	0
RMER20A	1	0	0	0	0
RSINE1	1	0	0	0	0
Tigger15a	1	0	0	0	0
URR1A	2	0	0	0	0
Zaphod	2	0	0	0	0
