MM4	MM3	MM2	MM1	MM0
.	101	7	0	0	0
B1_Mm	2	0	0	0	0
B1_Mur4	2	0	0	0	0
B1_Mus1	3	0	0	0	0
B1_Mus2	1	0	0	0	0
B1F	1	0	0	0	0
B3	5	0	0	0	0
B3A	1	0	0	0	0
B4	9	1	0	0	0
B4A	5	1	0	0	0
CYRA11_Mm	1	0	0	0	0
L1_Mus1	0	0	0	1	0
L1MB5	1	0	0	0	0
L1MC	0	1	0	0	0
L1Md_F3	2	0	0	0	0
L2	1	0	0	0	0
L2a	1	0	0	0	0
Lx	1	0	0	0	0
Lx2B2	0	1	0	0	0
Lx5c	2	0	0	0	0
Lx8	4	0	0	0	0
Lx9	1	0	0	0	0
MIR	2	0	0	0	0
MIRb	1	0	0	0	0
MLTR14	1	0	0	0	0
MT2A	1	0	0	0	0
MTC	1	0	0	0	0
MTE2b	1	0	0	0	0
ORR1B1	1	0	0	0	0
PB1D7	1	0	0	0	0
PB1D9	1	0	0	0	0
RCHARR1	1	0	0	0	0
RLTR13D1	1	1	0	1	0
RLTR13D2	1	0	0	0	0
RLTR13D6	30	39	43	79	97
RLTR13E	1	0	0	0	2
RLTR13G	0	1	2	4	3
RMER6A	1	0	0	0	0
URR1B	1	0	0	0	0
