MM4	MM3	MM2	MM1	MM0
.	146	21	0	0	0
(GA)n	1	0	0	0	0
(TAAG)n	1	0	0	0	0
(TTCCC)n	1	0	0	0	0
4.5SRNA	1	0	0	0	0
B1_Mm	1	0	0	0	0
B1_Mur4	2	0	0	0	0
B1_Mus1	4	1	0	0	0
B1_Mus2	2	0	0	0	0
B1F	1	0	0	0	0
B1F2	1	0	0	0	0
B3	3	1	0	0	0
B3A	3	0	0	0	0
B4	20	0	0	0	0
B4A	81	17	1	0	0
ERV3-16A3_I-int	1	0	0	0	0
ERVB5_1-I_MM-int	4	0	0	0	0
ETnERV2-int	0	2	2	1	0
ID_B1	1	0	0	0	0
ID2	1	0	0	0	0
ID4	0	0	1	0	0
ID4_	1	0	0	0	0
L1_Mur2	0	1	0	0	0
L1_Mus1	0	0	0	1	0
L1_Rod	1	0	0	0	0
L1M2	2	0	0	0	0
L1MA4	1	0	0	0	0
L1MA7	0	1	0	0	0
L1MB7	1	0	0	0	0
L1MB8	1	0	0	0	0
L1MC	2	0	0	0	0
L1MC4	1	0	0	0	0
L1Md_A	1	0	0	0	0
L1MEc	1	0	0	0	0
L2	1	0	0	0	0
Lx2	8	0	0	0	0
Lx2B2	2	0	0	0	0
Lx3_Mus	2	0	0	0	0
Lx3A	1	0	0	0	0
Lx3B	1	0	0	0	0
Lx3C	1	0	0	0	0
Lx7	1	0	0	0	0
Lx8	2	0	0	0	0
Lx9	2	0	0	0	0
MER102c	1	0	0	0	0
MER34-int	1	0	0	0	0
MIR	1	0	0	0	0
MIRb	0	1	0	0	0
MLT1A1	1	0	0	0	0
MLT1C	1	0	0	0	0
MLTR11A	1	0	0	0	0
MMETn-int	2	0	0	0	0
MT2A	1	0	0	0	0
MTD	2	0	0	0	0
MTE2a	2	0	0	0	0
MTEa	1	0	0	0	0
ORR1A3	1	0	0	0	0
ORR1A4	1	0	0	0	0
ORR1F	1	0	0	0	0
PB1D10	0	1	0	0	0
PB1D11	1	0	0	0	0
PB1D7	2	0	0	0	0
RLTR13D1	0	3	1	1	0
RLTR13D2	1	0	0	0	0
RLTR13D6	31	30	46	68	88
RLTR13E	35	68	77	41	34
RLTR13F	0	0	1	0	0
RLTR13G	96	39	32	38	18
RLTR20B5_MM	1	0	0	0	0
RLTR9E	0	0	0	0	1
RMER10A	1	0	0	0	0
RMER17C-int	1	0	0	0	0
RMER17C2	1	0	0	0	0
RMER19B2	1	0	0	0	0
RMER1A	1	0	0	0	0
RSINE1	2	1	0	0	0
URR1A	3	0	0	0	0
URR1B	6	1	0	0	0
ZP3AR	1	0	0	0	0
