MM4	MM3	MM2	MM1	MM0
.	133	10	0	0	0
(GGGGA)n	1	0	0	0	0
(TG)n	1	0	0	0	0
AT_rich	1	0	0	0	0
B1_Mur1	2	0	0	0	0
B1_Mur4	0	1	0	0	0
B3	3	0	0	0	0
B4A	1	0	0	0	0
C-rich	2	0	0	0	0
Charlie1a	0	1	0	0	0
ID_B1	3	0	0	0	0
ID4_	1	0	0	0	0
L1_Mm	6	2	0	0	0
L1_Mur1	0	1	0	0	0
L1_Mus1	15	0	0	0	0
L1_Mus2	7	1	0	0	0
L1_Mus3	8	2	0	0	0
L1_Mus4	2	0	0	0	0
L1M2	1	0	0	0	0
L1MA4	1	0	0	0	0
L1MC	1	0	0	0	0
L1MC1	1	0	0	0	0
L1MD	1	0	0	0	0
L1Md_A	5	1	0	0	0
L1Md_F2	39	15	1	0	0
L1Md_F3	12	0	0	0	0
L1Md_Gf	5	0	0	0	0
L1Md_T	4	0	0	0	0
L1VL1	1	0	0	0	0
L1VL2	1	2	0	0	0
L1VL4	0	1	0	0	0
L2c	1	0	0	0	0
L3	1	0	0	0	0
LTR37A	1	0	0	0	0
LTR81A	1	0	0	0	0
Lx	2	1	0	0	0
Lx3_Mus	1	0	0	0	0
Lx3A	0	1	0	0	0
Lx3B	1	0	0	0	0
Lx5	2	0	0	0	0
Lx6	3	1	0	0	0
Lx7	1	1	0	0	0
Lx8	3	0	0	0	0
MER73	1	0	0	0	0
MIR	1	1	0	0	0
MMERGLN-int	1	0	0	0	0
MMERVK9C_I-int	4	0	0	0	0
MT2B1	1	0	0	0	0
MTC	1	0	0	0	0
MTD	1	0	0	0	0
MurERV4_19-int	1	0	0	0	0
MYSERV6-int	1	0	0	0	0
ORR1B2	1	0	0	0	0
ORR1D1	1	1	0	0	0
ORR1F	1	0	0	0	0
PB1D10	1	0	0	0	0
polypurine	1	0	0	0	0
RLTR13C1	24	1	0	0	0
RLTR13C3	141	11	5	1	0
RLTR13D	1	0	0	0	0
RLTR13D1	0	2	1	0	0
RLTR13D2	5	0	0	0	0
RLTR13D3	8	0	0	0	0
RLTR13D3A	1	0	0	0	0
RLTR13D4	3	0	0	0	0
RLTR13D5	23	0	1	0	0
RLTR13D6	33	89	178	93	117
RLTR13E	4	20	52	25	41
RLTR13G	0	1	2	3	2
RLTR14-int	4	0	0	0	0
RLTR19A	1	0	0	0	0
RLTR31B2	1	0	0	0	0
RLTR31D_MM	2	0	0	0	0
RLTR34B_MM	1	0	0	0	0
RMER12	0	1	0	0	0
RMER17C	1	0	0	0	0
RMER19A	1	0	0	0	0
RMER4B	1	0	0	0	0
RSINE1	1	0	0	0	0
